,Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename,Latitude,Longtitude,Typenum,Dong,Challenge,Totalscore
392,뚜레쥬르 카페광운대역점,4.5,2,2,https://place.map.kakao.com/814390841,서울 노원구 석계로 105,월계동 383-42,"제과,베이커리",37.6228285,127.0605396,4,B,0,13.5
426,노랑통닭 월계점,3.4,5,5,https://place.map.kakao.com/1664834673,서울 노원구 초안산로2라길 35,월계동 276-19,치킨,37.6310784,127.0582843,0,B,0,12.75
351,그남자의돼지갈비 4호점,3.7,3,10,https://place.map.kakao.com/2031372265,서울 노원구 월계로 336 2층,월계동 292-59,갈비,37.6291401,127.0578102,0,B,0,12.21
386,치킨에꼬치다,3.7,3,6,https://place.map.kakao.com/1036609254,서울 노원구 석계로 12 1층,월계동 61-10,치킨,37.61582569999999,127.0646182,0,B,0,12.21
389,이자카야 콤마,3.7,3,2,https://place.map.kakao.com/220378937,서울 노원구 석계로 10 2층,월계동 61-11,일본식주점,37.6157304,127.0646511,2,B,0,12.21
405,던킨도너츠 광운대역점,3.7,3,1,https://place.map.kakao.com/21332237,서울 노원구 석계로 98-2,월계동 85-5,도넛,37.6234395,127.061565,4,B,0,12.21
416,김밥천국 광운대점,2.9,8,1,https://place.map.kakao.com/10198074,서울 노원구 광운로 33,월계동 402-19,분식,37.6205277,127.0585612,0,B,0,11.6
331,한입삼겹살,3.0,5,1,https://place.map.kakao.com/299247092,서울 노원구 화랑로 337-4,월계동 36-5,삼겹살,37.6157572,127.0651911,0,B,0,11.25
337,제주본가,3.0,5,5,https://place.map.kakao.com/9408821,서울 노원구 석계로1길 18,월계동 56,"육류,고기",37.6155031,127.0637115,0,B,0,11.25
381,디델리 광운대점,3.0,5,11,https://place.map.kakao.com/16081384,서울 노원구 광운로 31,월계동 465-9,분식,37.6203955,127.0584779,0,B,0,11.25
382,배스킨라빈스 석계점,3.0,5,4,https://place.map.kakao.com/26794261,서울 노원구 석계로1길 10,월계동 58-2,아이스크림,37.6155882,127.0640979,0,B,0,11.25
411,옛날통닭 석계점,4.0,2,2,https://place.map.kakao.com/1596819279,서울 노원구 석계로3길 36 1층,월계동 486-6,치킨,37.6163848,127.0629721,0,B,0,10.4
314,일심해장국 월계점,2.9,7,178,https://place.map.kakao.com/15319006,서울 노원구 석계로15길 25 한일아파트상가 108호,월계동 926,해장국,37.6218998,127.0613646,0,B,0,10.15
408,와라와라 석계역점,3.3,4,7,https://place.map.kakao.com/13082421,서울 노원구 석계로1길 14 3층,월계동 56-8,"호프,요리주점",37.61551130000001,127.0639527,5,B,0,9.9
333,왕코등갈비 석계점,3.0,4,8,https://place.map.kakao.com/23123025,서울 노원구 석계로 22,월계동 66-4,갈비,37.6168716,127.064374,0,B,0,9.0
400,미아리우동집 석계역점,3.0,4,4,https://place.map.kakao.com/55284543,서울 노원구 석계로3길 27 1층,월계동 68-9,"돈까스,우동",37.6160918,127.0631899,0,B,0,9.0
338,엉터리앙평해장국 석계역점,5.0,1,9,https://place.map.kakao.com/1512390559,서울 노원구 석계로1길 14,월계동 56-8,해장국,37.61551130000001,127.0639527,0,B,0,7.5
372,피자굽는오빠 2호점,5.0,1,26,https://place.map.kakao.com/140659618,서울 노원구 초안산로5길 12,월계동 776,이탈리안,37.6325296,127.0517095,3,B,0,7.5
406,여우곱창,5.0,1,11,https://place.map.kakao.com/13318900,서울 노원구 광운로 68,월계동 379-43,"곱창,막창",37.6232768,127.0602564,0,B,0,7.5
415,보배반점 월계점,5.0,1,1,https://place.map.kakao.com/149027499,서울 노원구 초안산로5길 12,월계동 776,중화요리,37.6325296,127.0517095,1,B,0,7.5
424,킹콩떡볶이 인덕대점,5.0,1,5,https://place.map.kakao.com/1755164268,서울 노원구 초안산로2길 124 1층,월계동 271-17,떡볶이,37.6338542,127.0583523,0,B,0,7.5
435,오네스토테이블,2.5,6,7,https://place.map.kakao.com/27382316,0,월계동 925,이탈리안,37.6218076,127.0603111,3,B,0,7.5
445,예지네숯불왕갈비,5.0,1,2,https://place.map.kakao.com/1615591184,서울 노원구 월계로55길 64,월계동 320-4,갈비,37.633906,127.0596535,0,B,0,7.5
422,본죽 석계역점,3.3,3,2,https://place.map.kakao.com/26310162,서울 노원구 석계로 11-1 1층,월계동 63-9,죽,37.6159083,127.0643566,0,B,0,7.425
442,메가커피 광운대역점,3.3,3,0,https://place.map.kakao.com/1950122890,서울 노원구 석계로 103,월계동 410-7,커피전문점,37.6226759,127.0607205,4,B,0,7.425
329,황금오리,3.5,2,6,https://place.map.kakao.com/9630494,서울 노원구 석계로1길 22,월계동 54-1,오리,37.6155313,127.0633986,0,B,0,7.0
348,여자만아구찜,3.5,2,5,https://place.map.kakao.com/534426827,서울 노원구 석계로18길 10-8,월계동 379-10,아구,37.6234861,127.0608575,0,B,0,7.0
361,장어구이셀프타운,3.5,2,8,https://place.map.kakao.com/20740538,서울 노원구 화랑로45길 40,월계동 21-34,장어,37.6167711,127.065329,0,B,0,7.0
431,언니떡볶이 동생브리또,3.0,3,5,https://place.map.kakao.com/1224186927,서울 노원구 광운로10길 3,월계동 403-8,떡볶이,37.6208615,127.0592865,0,B,0,6.75
336,맘스터치 석계역점,2.2,10,4,https://place.map.kakao.com/1367802236,서울 노원구 석계로1길 18 2층,월계동 56,패스트푸드,37.6155031,127.0637115,3,B,0,6.6
403,동대문엽기떡볶이 월계점,2.1,10,3,https://place.map.kakao.com/1346518616,서울 노원구 광운로 39 1층,월계동 402-7,떡볶이,37.6210305,127.0588993,0,B,0,6.3
367,카페베르데 광운대본점,4.0,1,1,https://place.map.kakao.com/16298833,서울 노원구 광운로 17-3 1층,월계동 496-4,카페,37.6192718,127.0575587,4,B,0,5.2
