,Name,Score,Numberofscore,Review,Link,Addr,lat,lng
136,파라솔분식,3.8,6,22,https://place.map.kakao.com/16621788,"
서울 노원구 상계로1길 14-17 1층
(지번) 상계동 603-1
",37.6572666,127.0618636
137,구석집 노원1호점,3.8,5,19,https://place.map.kakao.com/1674479148,"
서울 노원구 상계로1길 62-10 1층
(지번) 상계동 581-53
",37.6587275,127.0619109
138,명동칼국수,2.5,6,23,https://place.map.kakao.com/1351485177,"
서울 노원구 상계로 93 경일빌딩 1층
(지번) 상계동 349-51
",37.659116,127.0706964
139,참치박사 2호점,4.6,10,6,https://place.map.kakao.com/10771043,"
서울 노원구 노해로81길 12-33
(지번) 상계2동 332-4
",37.6557166,127.0636511
140,디저트식탁,4.4,7,61,https://place.map.kakao.com/1927286862,"
서울 노원구 상계로1길 14-29 2층
(지번) 상계동 602-8
",37.6572666,127.0618636
141,신닭발닭날개,4.9,9,32,https://place.map.kakao.com/25160901,"
서울 노원구 상계로3길 38-4 101호
(지번) 상계동 592-2
",37.6577282,127.0628087
142,문지원의 열정스시,3.8,19,24,https://place.map.kakao.com/1179763443,"
서울 노원구 한글비석로 459 한보빌딩 1층
(지번) 상계동 449-8
",37.6548036,127.0570076
143,다이브인브레드,4.9,14,27,https://place.map.kakao.com/1866260073,"
서울 노원구 한글비석로29길 31
(지번) 상계동 389-607
",37.6603537,127.0695113
144,다마식당 노원점,3.0,7,68,https://place.map.kakao.com/22079801,"
서울 노원구 상계로5길 31 보광빌딩 1층
(지번) 상계동 594-2
",37.6567871,127.0629826
145,절구시래기 직영1호점,3.5,15,3,https://place.map.kakao.com/2070031976,"
서울 노원구 동일로242길 123
(지번) 상계동 1002-2
",37.6748356,127.0615132
146,라공방 노원점,3.6,25,50,https://place.map.kakao.com/1070623585,"
서울 노원구 상계로 69 101~103호
(지번) 상계동 593-14
",37.6563915,127.062643
147,삼시세끼 고기밥상 수락점,5.0,2,14,https://place.map.kakao.com/414125070,"
서울 노원구 동일로242길 17 2층
(지번) 상계동 1120-1
",37.6757451,127.0564865
148,수락산풍천장어,3.5,6,121,https://place.map.kakao.com/1786457675,"
서울 노원구 동일로242길 48 다온빌딩 1층
(지번) 상계동 1008-20
",37.674719,127.0577409
149,춘천골닭갈비,4.1,7,16,https://place.map.kakao.com/21237293,"
서울 노원구 상계로 90
(지번) 상계동 341-7
",37.6563949,127.0647747
150,크래버대게나라 노원점,4.2,87,218,https://place.map.kakao.com/1028261118,"
서울 노원구 한글비석로 326 1층
(지번) 중계동 369-9
",37.6564743,127.078292
151,돈까스먹는용만이,3.6,35,122,https://place.map.kakao.com/12460195,"
서울 노원구 한글비석로20길 52
(지번) 중계동 140-42
",37.6612172,127.0745963
152,호접몽,3.6,17,36,https://place.map.kakao.com/8177898,"
서울 노원구 중계로18길 9
(지번) 중계동 366-15
",37.651092,127.0777783
153,중계고기파티,4.0,12,127,https://place.map.kakao.com/282482500,"
서울 노원구 중계로12길 6 1층
(지번) 중계동 58-8
",37.6475933,127.081126
154,이종구낙지세상,4.4,14,23,https://place.map.kakao.com/26895444,"
서울 노원구 중계로 90 우암타운 1층
(지번) 중계동 27
",37.643852,127.0838058
155,하나샤브샤브,3.4,16,46,https://place.map.kakao.com/187151325,"
서울 노원구 동일로203가길 29 브라운스톤상가 101호
(지번) 중계동 506
",37.6400147,127.0642892
