Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
이자카야 콤마,3.7,3,2,https://place.map.kakao.com/220378937,서울 노원구 석계로 10 2층,월계동 61-11,일본식주점
빈대주막 석계점,3.0,2,4,https://place.map.kakao.com/16053856,서울 노원구 석계로1길 10,월계동 58-2,"호프,요리주점"
석계3층집,4.3,3,5,https://place.map.kakao.com/26853973,서울 노원구 석계로 21 3층,월계동 68-20,오리
뚜레쥬르 카페광운대역점,4.5,2,2,https://place.map.kakao.com/814390841,서울 노원구 석계로 105,월계동 383-42,"제과,베이커리"
곤지암할매소머리국밥&순대국 본점,3.4,7,0,https://place.map.kakao.com/102346965,서울 노원구 월계로 338 상가 A동 101호,월계동 942,국밥
더원,3.6,5,11,https://place.map.kakao.com/152856273,서울 노원구 광운로 61,월계동 383-21,중식
KFC 월계이마트점,2.0,7,0,https://place.map.kakao.com/8014030,서울 노원구 마들로3길 15 2층,월계동 333-1,패스트푸드
이디야커피 월계인덕점,0.0,0,1,https://place.map.kakao.com/1586230348,서울 노원구 광운로22길 39,월계동 290-1,커피전문점
맘스터치 월계역점,4.2,5,4,https://place.map.kakao.com/1286697365,서울 노원구 초안산로2라길 26 1층 107호,월계동 951,패스트푸드
리드브레드 석계역점,4.4,8,9,https://place.map.kakao.com/741643395,서울 노원구 화랑로 353 1층,월계동 26-18,"제과,베이커리"
노원골제주흑돼지 2호점,4.3,3,13,https://place.map.kakao.com/733033915,서울 노원구 석계로 19,월계동 68-66,"육류,고기"
미아리우동집 석계역점,3.0,4,4,https://place.map.kakao.com/55284543,서울 노원구 석계로3길 27 1층,월계동 68-9,"돈까스,우동"
노랑통닭 석계역점,3.0,8,8,https://place.map.kakao.com/27430275,서울 노원구 석계로 12-1,월계동 61-9,치킨
햇살머믄꼬마김밥 석계역점,5.0,3,2,https://place.map.kakao.com/333894026,서울 노원구 화랑로45길 42,월계동 21-23,분식
동대문엽기떡볶이 월계점,2.1,10,3,https://place.map.kakao.com/1346518616,서울 노원구 광운로 39 1층,월계동 402-7,떡볶이
육회공작소 석계점,2.0,2,5,https://place.map.kakao.com/27264445,서울 노원구 석계로 16,월계동 64-10,"육류,고기"
던킨도너츠 광운대역점,3.7,3,1,https://place.map.kakao.com/21332237,서울 노원구 석계로 98-2,월계동 85-5,도넛
여우곱창,5.0,1,11,https://place.map.kakao.com/13318900,서울 노원구 광운로 68,월계동 379-43,"곱창,막창"
이삭토스트 석계역점,5.0,2,2,https://place.map.kakao.com/1790780715,서울 노원구 석계로3길 21 1층,월계동 55-7,토스트
와라와라 석계역점,3.3,4,7,https://place.map.kakao.com/13082421,서울 노원구 석계로1길 14 3층,월계동 56-8,"호프,요리주점"
인정각,4.4,5,11,https://place.map.kakao.com/1816241497,서울 노원구 석계로3길 18 2층,월계동 55-2,중화요리
최대포소금구이,3.3,8,9,https://place.map.kakao.com/16442113,서울 노원구 석계로7길 14,월계동 68-28,"육류,고기"
옛날통닭 석계점,4.0,2,2,https://place.map.kakao.com/1596819279,서울 노원구 석계로3길 36 1층,월계동 486-6,치킨
신당동즉석떡볶이,4.0,1,2,https://place.map.kakao.com/21412773,서울 노원구 석계로9길 47,월계동 482-1,떡볶이
은빛회포차,4.0,4,3,https://place.map.kakao.com/983033146,서울 노원구 석계로3길 8,월계동 63-10,회
배스킨라빈스 광운대역점,5.0,4,1,https://place.map.kakao.com/14855950,서울 노원구 광운로 65,월계동 383-25,아이스크림
보배반점 월계점,5.0,1,1,https://place.map.kakao.com/149027499,서울 노원구 초안산로5길 12,월계동 776,중화요리
김밥천국 광운대점,2.9,8,1,https://place.map.kakao.com/10198074,서울 노원구 광운로 33,월계동 402-19,분식
홍콩반점0410 광운대동문점,0.0,0,1,https://place.map.kakao.com/1479862933,서울 노원구 석계로13길 23 부일빌딩 1층,월계동 429-6,중화요리
락궁,2.0,4,5,https://place.map.kakao.com/8314850,서울 노원구 마들로 31 그랑빌 아파트 주상가 2층,월계3동 18,중화요리
